"accession_code","MEblack","MEgreen","MEturquoise","MEyellow","MEpurple","MEred","MEmagenta","MEpink","MEblue","MEbrown"
"P2S6",-0.0336626307610608,0.0961712298066441,0.234153197506346,0.122059997911561,0.0998626469136949,-0.0712941126696007,-0.0291385281960581,-0.103439346477451,-0.223354457003368,-0.140501546053425
"RA1",-0.0286952532582456,0.150304417361566,-0.0901770776844335,-0.0297936188928879,-0.0367948258981557,-0.0363256964905722,0.112413921234615,0.230281975852132,0.0563574140005978,0.0872263129163105
"RA2",-0.0546331813446054,-0.215343347780626,-0.20007450195956,0.0859592132200066,-0.0496750779969552,0.0468864857230325,0.0367221488331298,0.188421325378662,0.187454542338507,0.0599303979250868
"RA3",-0.0304262819053264,-0.0621560073375699,-0.12565474192416,0.0828758158879031,-0.0470745780345605,0.0321472980193976,0.116523413352224,0.17840092097563,0.090590955931861,0.00308031716021727
"RA4",-0.0237697065156106,-0.0322649489638721,-0.147344193765188,0.0627573705080781,-0.0193674428404523,0.046729249486795,0.0688572144985198,0.186155789177918,0.11921399398062,0.0323140276389853
"RA5",-0.195748627566829,-0.295222565745215,-0.240766148596432,0.090240951413819,0.0424178944974142,0.118999819685764,-0.0198448609673259,0.0633986303162337,0.193217590979612,0.349012625542734
"RS1",-0.11450517945999,0.115121209583882,0.0925429470982397,0.32186578710875,0.232770298514368,0.189144116272922,-0.0774730795748257,-0.17157096675126,-0.0701041251703642,-0.317495863254991
"RS2",-0.186765689185991,-0.0422331105788277,0.0518967109081649,0.320524232316151,0.290072250011535,0.279080919075776,-0.041003510775935,-0.116369988220557,-0.0194240340696486,-0.302791873038807
"RS4",-0.144778304108269,0.0413502570973299,0.0955100138244262,0.300406124791247,0.248791995681717,0.250890940072093,-0.025983165402529,-0.148502344127765,-0.0696357982536866,-0.296326868636986
"RS6",-0.236227965316133,0.17389799512826,0.00591822592141022,0.296855924624103,0.260333719677446,0.22631585543772,-0.122790085415777,-0.18211297140673,-0.064997397027572,0.00306482090891995
"RS7",-0.185210277436483,0.0917446103382787,0.0575972426339477,0.225534148237532,0.16131787847328,0.148894705505545,-0.0886998048230743,-0.147784229097215,-0.100331596107115,0.0490075431660817
