gene_id	colors
AIPGENE10362	turquoise
AIPGENE10363	grey
AIPGENE10364	darkturquoise
AIPGENE10366	thistle
AIPGENE10368	blue
AIPGENE1037	grey
AIPGENE10370	grey
AIPGENE10373	salmon
AIPGENE10374	cyan
AIPGENE10375	yellow
AIPGENE10377	lightsteelblue
AIPGENE10385	yellowgreen
AIPGENE10386	lightcyan
AIPGENE10387	green
AIPGENE10388	royalblue
AIPGENE10389	yellow
AIPGENE10394	green
AIPGENE10395	darkgreen
AIPGENE10396	grey60
AIPGENE10397	purple
AIPGENE10398	magenta
AIPGENE10400	green
AIPGENE10401	turquoise
AIPGENE10409	grey60
AIPGENE10410	honeydew1
AIPGENE10411	grey
AIPGENE10412	grey
AIPGENE10413	grey60
AIPGENE10416	blue
AIPGENE10417	turquoise
AIPGENE10419	greenyellow
AIPGENE10420	red
AIPGENE10421	royalblue
AIPGENE10422	black
AIPGENE1045	yellow
AIPGENE1046	midnightblue
AIPGENE10491	orange
AIPGENE10492	grey
AIPGENE10493	magenta
AIPGENE10494	saddlebrown
AIPGENE10495	plum1
AIPGENE10496	yellow
AIPGENE10497	grey
AIPGENE10498	brown4
AIPGENE10499	darkred
AIPGENE1050	blue
AIPGENE10500	lightcyan
AIPGENE10501	thistle
AIPGENE10502	grey
AIPGENE10503	paleturquoise
AIPGENE10504	skyblue3
AIPGENE10505	grey
AIPGENE10506	brown2
AIPGENE10509	grey
AIPGENE1051	darkturquoise
AIPGENE10510	midnightblue
AIPGENE10511	brown
AIPGENE10512	green
AIPGENE10514	cyan
AIPGENE10515	darkolivegreen4
AIPGENE10516	yellowgreen
AIPGENE10518	royalblue
AIPGENE10519	red
AIPGENE1052	darkgreen
AIPGENE10522	white
AIPGENE10524	darkgreen
AIPGENE10525	magenta
AIPGENE10527	magenta
AIPGENE10528	skyblue2
AIPGENE1053	turquoise
AIPGENE10531	orangered3
AIPGENE10532	brown
AIPGENE10533	green
AIPGENE10534	lightcyan
AIPGENE10538	blue2
AIPGENE10539	red
AIPGENE1054	darkgreen
AIPGENE10540	yellow
AIPGENE10541	blue
AIPGENE10543	lightyellow
AIPGENE10544	pink
AIPGENE10546	black
AIPGENE10547	blue
AIPGENE10548	turquoise
AIPGENE10549	orange
AIPGENE1055	tan
AIPGENE10550	green
AIPGENE10556	yellow4
AIPGENE10557	yellow4
AIPGENE10558	lightyellow
AIPGENE10559	floralwhite
AIPGENE1056	turquoise
AIPGENE10560	darkorange2
AIPGENE10561	cyan
AIPGENE10562	pink
AIPGENE10564	midnightblue
AIPGENE10566	blue
AIPGENE10567	lightyellow
AIPGENE10568	thistle1
AIPGENE10569	pink
AIPGENE1057	purple
AIPGENE10571	grey
AIPGENE10572	midnightblue
AIPGENE10574	brown4
AIPGENE10575	darkgreen
AIPGENE10578	cyan
AIPGENE10579	brown
AIPGENE10581	lightsteelblue1
AIPGENE10582	saddlebrown
AIPGENE10583	palevioletred2
AIPGENE10584	lightgreen
AIPGENE10586	turquoise
AIPGENE10587	red
AIPGENE10588	greenyellow
AIPGENE10589	darkgrey
AIPGENE10590	violet
AIPGENE10592	turquoise
AIPGENE10593	coral1
AIPGENE10596	tan
AIPGENE10597	skyblue3
AIPGENE10598	green
AIPGENE10599	darkorange
AIPGENE10601	turquoise
AIPGENE10602	grey60
AIPGENE10603	grey
AIPGENE10604	grey
AIPGENE10605	lightyellow
AIPGENE10606	navajowhite2
AIPGENE10607	darkturquoise
AIPGENE10608	grey
AIPGENE10609	green
AIPGENE1061	blue
AIPGENE10611	grey
AIPGENE10612	orange
AIPGENE10614	green
AIPGENE10616	skyblue2
AIPGENE10618	lightcyan
AIPGENE10619	salmon
AIPGENE1062	blue
AIPGENE10623	salmon
AIPGENE10625	grey
AIPGENE1063	grey
AIPGENE10630	tan
AIPGENE10633	brown
AIPGENE10638	grey
AIPGENE10639	lightgreen
AIPGENE1064	blue
AIPGENE10640	yellow
AIPGENE10641	turquoise
AIPGENE10644	brown
AIPGENE10648	pink
