"Gene","Presence"
"AIPGENE11586",0
"AIPGENE11588",0
"AIPGENE1159",0
"AIPGENE11590",0
"AIPGENE11591",0
"AIPGENE11592",0
"AIPGENE11593",0
"AIPGENE11594",0
"AIPGENE11596",0
"AIPGENE11598",0
"AIPGENE11599",0
"AIPGENE1160",0
"AIPGENE11601",0
"AIPGENE11605",0
"AIPGENE11606",0
"AIPGENE11607",0
"AIPGENE11610",0
"AIPGENE11611",0
"AIPGENE11612",0
"AIPGENE11615",0
"AIPGENE11616",0
"AIPGENE11617",0
"AIPGENE11618",0
"AIPGENE11619",0
"AIPGENE11620",0
"AIPGENE11621",0
"AIPGENE11622",0
"AIPGENE11623",0
"AIPGENE11624",0
"AIPGENE11626",0
"AIPGENE11630",0
"AIPGENE11631",0
"AIPGENE11637",0
"AIPGENE11640",0
"AIPGENE11645",0
"AIPGENE11646",0
"AIPGENE11647",0
"AIPGENE11649",0
"AIPGENE11650",0
"AIPGENE11651",0
"AIPGENE11652",0
"AIPGENE11653",0
"AIPGENE11655",0
"AIPGENE11657",0
"AIPGENE11658",0
"AIPGENE11661",0
"AIPGENE11663",0
"AIPGENE11665",0
"AIPGENE11678",0
"AIPGENE11679",0
"AIPGENE11684",0
"AIPGENE11685",0
"AIPGENE11686",0
"AIPGENE11689",0
"AIPGENE11690",0
"AIPGENE11695",0
"AIPGENE11696",0
"AIPGENE11697",0
"AIPGENE11698",0
"AIPGENE11699",0
"AIPGENE11700",0
"AIPGENE11703",0
"AIPGENE11705",0
"AIPGENE11706",0
"AIPGENE11707",0
"AIPGENE11713",0
"AIPGENE11714",0
"AIPGENE11717",0
"AIPGENE11718",0
"AIPGENE11720",0
"AIPGENE11721",0
"AIPGENE11722",0
"AIPGENE11723",0
"AIPGENE11726",0
"AIPGENE11728",0
"AIPGENE1173",0
"AIPGENE11734",0
"AIPGENE11739",0
"AIPGENE1174",0
"AIPGENE11747",0
"AIPGENE11748",0
"AIPGENE1175",0
"AIPGENE11751",0
"AIPGENE11755",0
"AIPGENE11758",0
"AIPGENE11759",0
"AIPGENE1176",0
"AIPGENE11761",0
"AIPGENE11762",0
"AIPGENE11764",0
"AIPGENE11766",0
"AIPGENE11769",0
"AIPGENE1177",0
"AIPGENE11772",0
"AIPGENE11773",0
"AIPGENE11776",0
"AIPGENE11777",0
"AIPGENE11778",0
"AIPGENE11779",0
"AIPGENE1178",0
"AIPGENE11781",0
"AIPGENE11782",0
"AIPGENE11783",0
"AIPGENE11785",0
"AIPGENE11786",0
"AIPGENE11787",0
"AIPGENE11789",0
"AIPGENE11792",0
"AIPGENE11793",0
"AIPGENE11795",0
"AIPGENE11796",0
"AIPGENE11798",0
"AIPGENE11799",0
"AIPGENE1180",0
"AIPGENE11800",0
"AIPGENE11802",0
"AIPGENE11803",0
"AIPGENE11805",0
"AIPGENE11806",0
"AIPGENE1181",0
"AIPGENE11810",0
"AIPGENE11811",0
"AIPGENE11813",0
"AIPGENE11815",0
"AIPGENE11817",0
"AIPGENE11818",0
"AIPGENE11819",0
"AIPGENE1182",0
"AIPGENE11820",0
"AIPGENE11822",0
"AIPGENE11823",0
"AIPGENE11826",0
"AIPGENE11828",0
"AIPGENE11829",0
"AIPGENE11831",0
"AIPGENE11832",0
"AIPGENE11836",0
"AIPGENE1184",0
"AIPGENE11845",0
"AIPGENE11846",0
"AIPGENE11847",0
"AIPGENE11852",0
"AIPGENE11854",0
"AIPGENE11855",0
"AIPGENE11859",0
"AIPGENE1186",0
"AIPGENE11863",0
"AIPGENE11864",0
"AIPGENE11865",0
"AIPGENE11866",0
"AIPGENE11868",0
"AIPGENE11869",0
"AIPGENE11872",0
"AIPGENE11873",0
"AIPGENE11876",0
"AIPGENE11877",0
"AIPGENE11880",0
"AIPGENE11881",0
"AIPGENE11883",0
"AIPGENE11884",0
"AIPGENE11885",0
"AIPGENE11886",0
"AIPGENE11887",0
"AIPGENE11888",0
"AIPGENE11889",0
"AIPGENE1189",0
"AIPGENE11892",0
"AIPGENE11895",0
"AIPGENE11896",0
"AIPGENE11899",0
"AIPGENE1190",0
"AIPGENE11900",0
"AIPGENE11901",0
"AIPGENE11903",0
"AIPGENE11908",0
"AIPGENE1191",0
"AIPGENE11910",0
"AIPGENE11911",0
"AIPGENE11912",0
"AIPGENE11913",0
"AIPGENE11916",0
"AIPGENE1192",0
"AIPGENE11926",0
"AIPGENE11927",0
"AIPGENE11928",0
"AIPGENE11931",0
"AIPGENE11932",0
"AIPGENE11935",0
"AIPGENE11936",0
"AIPGENE11938",0
"AIPGENE11940",0
"AIPGENE11941",0
"AIPGENE11946",0
"AIPGENE11952",0
"AIPGENE11953",0
"AIPGENE11967",0
"AIPGENE11974",0
"AIPGENE11975",0
"AIPGENE11976",0
"AIPGENE11978",0
"AIPGENE1198",0
"AIPGENE11980",0
"AIPGENE11982",0
"AIPGENE11983",0
"AIPGENE11985",0
"AIPGENE11986",0
"AIPGENE11987",0
"AIPGENE11988",0
"AIPGENE1199",0
"AIPGENE11993",0
"AIPGENE11994",0
"AIPGENE11995",0
"AIPGENE11996",0
"AIPGENE11999",0
"AIPGENE12",0
"AIPGENE1200",0
"AIPGENE12000",0
"AIPGENE12002",0
"AIPGENE12003",0
"AIPGENE12004",0
