gene_id	colors
AIPGENE10660	green
AIPGENE10661	darkgrey
AIPGENE10662	yellow
AIPGENE10663	turquoise
AIPGENE10665	grey
AIPGENE10666	blue
AIPGENE10667	magenta
AIPGENE1067	grey
AIPGENE10670	grey
AIPGENE10671	blue
AIPGENE10673	tan
AIPGENE10675	saddlebrown
AIPGENE10676	yellow
AIPGENE10677	cyan
AIPGENE10678	salmon
AIPGENE10680	grey
AIPGENE10684	grey
AIPGENE10685	brown
AIPGENE10686	midnightblue
AIPGENE10687	grey
AIPGENE10688	midnightblue
AIPGENE10689	grey
AIPGENE10690	yellow
AIPGENE10691	midnightblue
AIPGENE10692	brown
AIPGENE10694	purple
AIPGENE10697	darkturquoise
AIPGENE10699	lightcyan
AIPGENE10700	skyblue3
AIPGENE10703	darkturquoise
AIPGENE10704	turquoise
AIPGENE10705	grey
AIPGENE10706	grey
AIPGENE10707	tan
AIPGENE10708	turquoise
AIPGENE1071	green
AIPGENE10712	grey
AIPGENE10716	yellow
AIPGENE10717	brown
AIPGENE10718	green
AIPGENE10719	blue
AIPGENE10720	red
AIPGENE10722	grey
AIPGENE10723	purple
AIPGENE10725	red
AIPGENE10726	yellow
AIPGENE10729	brown
AIPGENE1073	grey
AIPGENE10730	turquoise
AIPGENE10731	brown
AIPGENE10733	salmon
AIPGENE10734	lightcyan
AIPGENE10735	grey
AIPGENE10738	grey60
AIPGENE10739	steelblue
AIPGENE10740	red
AIPGENE10742	magenta
AIPGENE10749	turquoise
AIPGENE10751	grey
AIPGENE10752	white
AIPGENE10756	grey
AIPGENE10757	lightyellow
AIPGENE10759	grey
AIPGENE1076	darkgreen
AIPGENE10760	grey
AIPGENE10763	brown
AIPGENE10764	darkgrey
AIPGENE10766	grey
AIPGENE10767	darkorange
AIPGENE1077	brown
AIPGENE10773	grey
AIPGENE10779	brown
AIPGENE10780	blue
AIPGENE10787	grey
AIPGENE1079	cyan
AIPGENE10794	midnightblue
AIPGENE10795	magenta
AIPGENE10797	blue
AIPGENE1080	magenta
AIPGENE10800	grey
AIPGENE10802	blue
AIPGENE10808	darkturquoise
AIPGENE1081	tan
AIPGENE10811	turquoise
AIPGENE10818	pink
AIPGENE10819	grey
AIPGENE1082	turquoise
AIPGENE10821	darkgreen
AIPGENE10824	blue
AIPGENE10825	lightyellow
AIPGENE10830	blue
AIPGENE1084	red
AIPGENE10846	blue
AIPGENE10851	violet
AIPGENE10852	turquoise
AIPGENE10853	brown
AIPGENE10858	pink
AIPGENE10859	pink
AIPGENE1086	turquoise
AIPGENE10860	greenyellow
AIPGENE10867	turquoise
AIPGENE10868	grey
AIPGENE1087	grey
AIPGENE10873	grey
AIPGENE10874	turquoise
AIPGENE10875	purple
AIPGENE1088	grey60
AIPGENE10880	turquoise
AIPGENE10882	turquoise
AIPGENE10883	yellow
AIPGENE10884	blue
AIPGENE10885	grey
AIPGENE10886	midnightblue
AIPGENE10888	black
AIPGENE10889	grey
AIPGENE1089	brown
AIPGENE10890	red
AIPGENE10891	greenyellow
AIPGENE10892	brown
AIPGENE10893	grey
AIPGENE10895	purple
AIPGENE10897	white
AIPGENE10898	green
AIPGENE10899	tan
