,Sym_MMdarkgreen,Sym_MMpink,Sym_MMred,Sym_MMdarkturquoise,Sym_MMgreen,Sym_MMblue,Sym_MMlightyellow,Sym_MMbrown,Sym_MMlightcyan,Sym_MMcyan,Sym_MMgreenyellow,Sym_MMblack,Sym_MMdarkred,Sym_MMturquoise,Sym_MMmagenta,Sym_MMroyalblue
AIPGENE10016,-0.137810876301925,-0.48121111497642,-0.139824595862292,-0.416979935216966,-0.655292633872086,-0.195199333138199,-0.536617246603827,0.677026877294022,0.0979782834281248,0.234619067213935,0.150965369685333,0.0660632899958488,-0.131823709695804,0.453538433135106,0.0494142240524804,-0.307428091678583
AIPGENE10017,-0.190236701522839,-0.159533085497925,-0.485923113915354,-0.570803855479987,-0.336121887946511,0.141988490879282,-0.188537371186834,0.273865896124384,0.0192927117252171,0.107038346310813,0.504507910788695,-0.441394113263766,0.133085877976799,0.501248674012119,0.0466997048942371,0.459170196487209
AIPGENE1002,0.108220316263306,0.232049775485648,-0.151428074805861,0.116415941811519,0.154930357005716,0.43976916050971,0.435327340907264,-0.214587596363241,-0.487301367845532,-0.30401289007018,-0.0968486317445537,-0.146130836294581,-0.126418109535928,-0.0651471078145339,0.438482256589306,0.0606941949500409
AIPGENE10020,0.0756792514949966,0.10608182212065,-0.0966807714718076,-0.460089719455317,-0.398061413883054,-0.0767392043654963,0.051039378628071,0.313528082894878,0.450400333418705,0.27295264822156,0.686802704904848,-0.509324181852113,0.371845391983079,0.0928407399473822,-0.359356466772589,0.276016485824476
AIPGENE10022,-0.0034955566499006,0.219959238430541,0.471605395603989,0.119020153272202,-0.511102566167023,-0.187974206700191,-0.197794059617963,0.343663257243103,0.0688989706959345,0.122734343785645,0.41787046883344,-0.336669085225072,-0.205908895770658,-0.280312929712588,0.0109231867610322,-0.365895675665491
AIPGENE10024,-0.361667578924626,-0.0354173814145804,-0.0308814243557578,0.519390334095226,0.475047578812549,0.464572730222643,0.453757920274792,-0.471297935362637,-0.442148805422201,-0.417783463101601,-0.646300328514334,0.371297386703161,-0.235942150640531,-0.182143692451986,0.210627457441981,0.0765260994930839
AIPGENE10025,-0.131623021625394,-0.389808412235235,-0.460536714292167,-0.202176469912053,-0.153993363280763,0.0454569478113257,-0.37795508929948,0.18652873284543,-0.403561532756212,-0.243203166055731,-0.120797712984044,0.133258947690732,-0.0274498080686676,0.563573431343105,0.590403460910912,0.11690418044826
AIPGENE10028,0.00178398068377895,0.203514105858,-0.305950008911781,-0.45920173423252,-0.0534679295985786,0.162441972227491,0.0549009694299627,-0.0198783191527086,0.063146908101551,0.16655174629155,0.570917923526162,-0.481431603634706,0.472498131119844,0.137129398780401,-0.0638479010267269,0.558295714600927
AIPGENE10029,-0.350522018027325,-0.128923123918657,-0.0891217178111543,-0.302450409810331,-0.40798061960854,-0.411809705839054,-0.314554636332645,0.398800073458637,-0.0625552158264773,0.198086649686461,0.450331135493829,-0.118713205820347,-0.0469812012810471,0.332560068425095,0.295624086896803,0.107349582576968
AIPGENE1003,-0.095134577434469,0.500081283396533,0.20343728809439,0.238419701719093,0.225061926961275,0.559198471998213,0.38549999606917,-0.402634876529803,-0.375456340460332,0.0354228097270967,0.0682208819488028,-0.31097774377051,-0.202946390314753,-0.494997235323907,0.0479368731491326,0.194047674920456
AIPGENE10031,0.41295103316695,0.249977459835538,0.135049435177238,-0.0671996242527392,-0.0058812507788999,0.0282969321049589,-0.0833062698646312,-0.0706997934783103,0.273688016129027,0.219032954253712,0.222002587333173,-0.313187159867432,0.129140651043522,-0.190462677475616,-0.327309058661278,0.0134622875225715
AIPGENE10033,-0.24823048964536,0.0951585422463902,-0.368286876923307,0.221908410547788,0.0509677903017481,0.41151311112984,0.191633478120713,-0.148088134805032,-0.339691302677709,-0.55820416915849,-0.0344660551620157,-0.106579139673811,-0.333974456926253,0.154257008786606,0.18992042337143,0.241655912464804
AIPGENE10034,-0.207558276287505,0.355440438851232,-0.143062315129015,-0.0550439703446367,0.183467812404696,0.194674510840787,-0.126371637941852,-0.326453343331155,-0.40295377749658,0.095456496037468,0.455363486186611,-0.39446844340221,0.159026693328731,-0.0610928755516744,0.405422888063762,0.618335357465487
AIPGENE10035,0.215749122947766,-0.0556221240666436,0.409067404110916,0.236927526903703,0.0397984959698493,-0.264003947332155,0.124133219080156,0.0511707999900241,0.3021349688372,0.0708823629480535,-0.405603846594583,0.251653045081302,-0.0960081448222331,-0.242499379263397,-0.376081672253008,-0.651625045233049
AIPGENE10036,-0.39964488477274,-0.556816328227123,0.0661593183105878,0.160864984817623,-0.0325092485415537,-0.351187234507415,-0.159190864464247,0.222048567546776,-0.0528172747573711,-0.0203599092936246,-0.601134900326809,0.824480435713077,-0.192805404564264,0.210088357986756,0.0627201791526269,-0.410807993524636
AIPGENE10038,-0.169535339538121,-0.576071605717116,-0.0776908000337877,-0.0689934465785565,-0.0944374200986947,-0.323632168110401,0.022543803014745,0.311808385377639,0.349926156105763,-0.0731078518589537,-0.513331297705729,0.62027835634874,0.205361707156699,0.306278328692089,-0.324339833719129,-0.274552032468913
