"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0887001716491048 2 11 "GO:0002687;GO:0002688;GO:0002690" "regulation of leukocyte chemotaxis" 0.46109428072138
0 0.0236428467121988 4 50 "GO:0002694;GO:0050865;GO:0051249" "regulation of cell activation" 0.249240512547034
0 0.0336593811046437 2 13 "GO:0002695;GO:0051250" "negative regulation of leukocyte activation" 0.296996912518672
0 0.220007149645238 3 41 "GO:0002696;GO:0050867;GO:0051251;GO:0050870;GO:0050863;GO:1903039;GO:0022409;GO:1903037" "positive regulation of cell-cell adhesion" 0.725792817098888
0 0.00831414141118439 4 43 "GO:0002697" "regulation of immune effector process" 0.129481764586321
0 0.650202002592292 2 10 "GO:0002698" "negative regulation of immune effector process" 1
0 0.0217174890197666 2 17 "GO:0002699;GO:0002703" "positive regulation of immune effector process" 0.23552242402471
0 0.339442983518145 5 12 "GO:0002700" "regulation of production of molecular mediator of immune response" 0.854038546531653
0 0.0887001716491048 3 11 "GO:0002706" "regulation of lymphocyte mediated immunity" 0.46109428072138
0 0.0837921160756133 3 24 "GO:0002753" "cytoplasmic pattern recognition receptor signaling pathway" 0.455664907880929
0 0.182594783010024 2 15 "GO:0002755" "MyD88-dependent toll-like receptor signaling pathway" 0.671649815867281
0 0.30117770436784 9 11 "GO:0002756;GO:0035666" "TRIF-dependent toll-like receptor signaling pathway" 0.825230765078916
0 0.014253852440316 2 27 "GO:0002761;GO:0002763;GO:0045639" "regulation of myeloid leukocyte differentiation" 0.18051690976427
0 0.000138909145518238 5 53 "GO:0002768" "immune response-regulating cell surface receptor signaling pathway" 0.00670090909129447
0 0.770290618091127 2 14 "GO:0002790" "peptide secretion" 1
0 0.388662730247758 2 41 "GO:0002791;GO:0090087;GO:0046883;GO:0050796;GO:0090276" "regulation of hormone secretion" 0.89878256369794
0 0.413696837736072 3 14 "GO:0002793;GO:0090277;GO:0046887" "positive regulation of hormone secretion" 0.916251094845033
0 0.449251000001618 6 15 "GO:0002822;GO:0002819" "regulation of adaptive immune response" 0.961152649663325
0 0.744819633780052 2 13 "GO:0002832" "negative regulation of response to biotic stimulus" 1
0 0.752000994562736 3 107 "GO:0003002" "regionalization" 1
0 0.412722846197901 2 237 "GO:0003006" "developmental process involved in reproduction" 0.916251094845033
0 0.606603819161426 4 20 "GO:0003007" "heart morphogenesis" 1
0 0.102142065511486 2 383 "GO:0003008" "system process" 0.501932493802537
0 0.0464238698606309 2 41 "GO:0003012;GO:0006936" "muscle system process" 0.350269327004672
0 0.559890254653869 2 60 "GO:0003013" "circulatory system process" 1
0 0.449251000001618 2 15 "GO:0003014" "renal system process" 0.961152649663325
0 0.761993794803448 2 51 "GO:0003018;GO:0097746;GO:0035296;GO:0035150" "regulation of tube size" 1
0 1 2 10 "GO:0003073" "regulation of systemic arterial blood pressure" 1
0 0.650202002592292 2 10 "GO:0003151" "outflow tract morphogenesis" 1
0 0.650202002592292 6 10 "GO:0003156" "regulation of animal organ formation" 1
0 0.339442983518145 2 12 "GO:0003206;GO:0003208" "cardiac chamber morphogenesis" 0.854038546531653
0 0.14026990745723 2 28 "GO:0003279" "cardiac septum development" 0.594807450273692
0 0.815267223007629 4 30 "GO:0003333" "amino acid transmembrane transport" 1
0 0.947343136334282 4 45 "GO:0003341" "cilium movement" 1
0 0.727419002283368 2 25 "GO:0003351;GO:0006858" "extracellular transport" 1
0 0.339442983518145 3 12 "GO:0003382" "epithelial cell morphogenesis" 0.854038546531653
