,MMblack,MMgreen,MMturquoise,MMyellow,MMpurple,MMred,MMmagenta,MMpink,MMblue,MMbrown
AIPGENE22284,-0.100085999421741,-0.133058142677423,-0.134662492881453,0.0708483178689962,0.220146433829917,0.318699085102303,-0.298463665210587,-0.270956639808475,0.0827242267522452,0.116578631862623
AIPGENE22287,0.229915156093924,0.13236907816475,0.0975356090358026,-0.160028210532435,-0.18529204586939,-0.252777781683701,0.161075603706664,0.0813538884588527,-0.0544436510140339,-0.0708901021082619
AIPGENE22290,0.474408558097053,-0.201028411943064,-0.664070468489313,-0.787964631688752,-0.357273804383258,0.123010584076812,-0.484837992955968,0.0833127593210962,0.707123710894841,0.392345334372325
AIPGENE22292,0.357691826449061,0.452296424614231,0.310939150160581,-0.152296124110908,-0.0432017261659565,-0.326911162090346,-0.0441153398877975,-0.276578659753536,-0.315642153164323,-0.0711487568188741
AIPGENE22293,0.239665508293443,-0.0803524167860501,0.0837418939092459,-0.184857100854328,-0.19338541374784,-0.160760419473491,0.0601392950117387,0.00292495854530683,0.00899911193313727,-0.186611890291736
AIPGENE22294,0.135061221625477,0.0340202124270846,-0.124712434696008,-0.385220027291564,-0.180903968508503,-0.175250913899669,-0.0386669667480922,0.0949935954860781,0.0633121975425773,0.399883090549753
AIPGENE22297,0.0528195444051879,-0.393863555225512,-0.410274710474386,-0.26344153221835,-0.0768294103384927,0.250394044659828,-0.240031200622504,0.0350106834029425,0.41771912485393,0.174800100598373
AIPGENE22298,0.158091118197743,0.0598113373522696,0.0434743805285063,0.0221978272494417,0.00167740177801534,-0.0532797348397249,-0.104387593131052,-0.119352247162806,-0.0292908420811796,-0.11516097701199
AIPGENE22299,0.20655126245148,0.260923332094254,-0.207986002892675,-0.26413594111258,-0.094002332732554,0.0875621514051594,-0.222214147376168,-0.0500668712487804,0.201556072307325,0.0691691931182776
AIPGENE2230,0.174849673322785,0.236042830442082,0.261877652316346,-0.116986859884304,-0.168299540566051,-0.362317584706326,0.158158849375773,0.0653398191650842,-0.23204417765837,-0.0836561198206027
