ASV_ID	B10	B11	B12	B9	C1	C10	C11	C12	C2	C3	C4	C5	C6	C7	C8	C9	D1	D10	D11	D12	D2	D3	D4	D5	D6	D7	D8	D9	E1	E10	E11	E2	E3	E4	E5	E6	E7	E8	E9	F1	F2	F3	F4	F5	F6	F7	F8	F9
ASV56	43	39	0	0	36	27	22	0	0	43	33	105	47	10	78	0	0	0	0	2	0	6	0	0	0	0	0	0	0	25	10	3	0	21	22	3	41	0	0	0	8	11	8	0	0	0	0	29
ASV57	8	5	0	8	0	130	53	4	33	0	17	18	0	73	0	84	0	6	0	57	70	25	37	64	96	143	99	41	0	0	0	3	2	0	0	5	7	0	0	0	0	0	0	0	0	0	0	0
ASV58	41	38	0	0	35	8	0	0	0	37	55	65	36	25	39	0	0	0	0	0	5	0	0	0	0	0	10	0	0	31	0	0	0	33	13	14	23	0	0	0	0	0	0	32	0	129	0	0
ASV59	2	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	43	67	0	0	0	0	0	0	0	0	0	72	2	0	114	75	0	0	0	0	0	0	0	0	0	31	37	0	0	39	23
ASV61	0	0	35	2	0	49	0	12	13	0	0	0	1	0	0	0	28	3	5	3	1	19	0	0	0	0	0	0	13	17	57	11	0	27	0	0	19	0	34	0	0	48	86	349	140	0	594	59
ASV62	6	22	33	68	19	13	0	0	38	0	1	0	0	45	0	8	28	19	30	3	3	13	16	13	0	38	7	1	20	10	19	21	35	2	5	0	4	0	11	0	3	8	61	21	0	33	0	28
ASV63	0	0	0	0	0	38	0	0	0	27	124	29	27	82	35	315	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	5	0	12	0	0	0	0
ASV64	0	2	0	0	0	0	0	30	4	0	0	0	0	0	0	0	0	58	76	0	0	0	0	0	0	0	0	0	205	0	0	57	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV65	0	0	10	4	0	0	0	16	0	0	0	0	0	0	0	0	0	35	70	0	0	0	0	0	0	0	0	0	88	0	0	104	101	0	0	0	0	0	0	0	0	0	0	0	55	0	39	0
ASV66	21	20	15	4	38	0	0	0	8	98	104	50	32	33	36	4	0	0	0	0	0	0	0	0	21	0	0	0	0	4	2	0	0	12	2	22	14	0	5	0	0	7	25	0	0	16	0	0
ASV67	18	59	0	201	19	0	0	0	70	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV68	3	1	0	0	0	67	15	18	13	6	3	2	2	48	0	10	33	4	8	17	7	83	17	13	27	0	37	7	46	3	23	10	2	12	10	3	13	0	30	13	0	13	30	0	111	75	38	0
ASV69	16	14	0	0	21	0	0	0	0	16	194	57	42	8	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	12	14	0	3	0	20	0	0	0	0	0	0	0
ASV70	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	102	0	70	0	94	0	80	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV71	8	0	0	98	0	0	0	18	18	0	0	0	0	0	0	0	0	6	29	0	0	0	0	0	0	0	0	0	18	0	0	42	30	2	0	0	0	0	15	0	0	0	60	0	154	78	63	70
ASV73	20	21	0	0	25	0	3	0	1	26	41	31	32	34	25	2	0	0	0	0	0	0	0	0	0	0	0	0	3	10	4	0	0	25	5	8	25	0	2	0	6	3	33	0	0	0	0	0
ASV74	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	11	13	0	0	29	9	0	0	0	47	22	1	0	94	340	228	151	199	67
ASV75	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	21	74	0	0	0	0	0	0	0	0	0	77	0	0	78	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV76	21	11	0	3	13	0	0	0	12	31	40	36	21	38	28	0	45	4	3	13	0	0	0	0	0	0	10	0	0	26	6	0	0	29	6	6	14	0	5	1	9	12	38	0	0	0	0	0
ASV77	5	0	23	0	0	0	0	0	1	0	0	0	4	0	0	0	23	1	0	11	0	0	22	0	2	0	0	15	14	10	12	0	0	17	5	0	13	0	15	5	4	11	58	233	23	190	173	122
ASV78	0	0	22	0	0	0	0	0	0	3	0	0	0	14	0	2	0	0	0	0	0	0	0	0	16	0	0	0	0	7	22	0	4	20	11	3	9	0	33	8	20	26	130	132	178	93	156	112
ASV79	5	4	0	18	5	0	0	51	14	0	0	0	0	0	0	0	0	22	41	0	0	0	0	0	0	0	0	0	45	0	0	44	33	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV81	6	0	6	0	3	0	0	11	8	9	37	3	5	0	49	10	0	0	4	18	3	18	34	23	0	0	20	3	17	0	9	4	3	1	5	5	21	0	1	9	2	13	6	0	54	63	0	46
ASV82	3	0	13	0	2	2	135	8	4	4	3	3	0	57	0	13	112	0	7	38	8	41	4	3	9	0	8	0	17	2	12	21	7	4	13	7	6	0	14	4	8	0	0	0	35	0	33	0
